{'loss': 0.696, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.01}                                                                                                                                         
{'loss': 0.7174, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.03}                                                                                                                                        
{'loss': 0.6353, 'learning_rate': 3e-06, 'epoch': 0.04}                                                                                                                                                         
{'loss': 0.6885, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.05}                                                                                                                                         
{'loss': 0.6616, 'learning_rate': 5e-06, 'epoch': 0.06}                                                                                                                                                         
{'loss': 0.7333, 'learning_rate': 6e-06, 'epoch': 0.08}                                                                                                                                                         
{'loss': 0.745, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.09}                                                                                                                                          
{'loss': 0.7093, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.1}                                                                                                                                          
{'loss': 0.7509, 'learning_rate': 9e-06, 'epoch': 0.11}                                                                                                                                                         
{'loss': 0.674, 'learning_rate': 1e-05, 'epoch': 0.13}                                                                                                                                                          
{'loss': 0.7789, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.14}                                                                                                                                        
{'loss': 0.7056, 'learning_rate': 1.2e-05, 'epoch': 0.15}                                                                                                                                                       
{'loss': 0.6894, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.16}                                                                                                                                        
{'loss': 0.9476, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.18}                                                                                                                                        
{'loss': 0.8018, 'learning_rate': 1.5e-05, 'epoch': 0.19}                                                                                                                                                       
{'loss': 0.7122, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.2}                                                                                                                                         
{'loss': 0.7029, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.22}                                                                                                                                        
{'loss': 0.933, 'learning_rate': 1.8e-05, 'epoch': 0.23}                                                                                                                                                        
{'loss': 0.7343, 'learning_rate': 1.9e-05, 'epoch': 0.24}                                                                                                                                                       
{'loss': 0.7524, 'learning_rate': 2e-05, 'epoch': 0.25}                                                                                                                                                         
{'loss': 0.7147, 'learning_rate': 2.1e-05, 'epoch': 0.27}                                                                                                                                                       
{'loss': 0.7194, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.28}                                                                                                                                        
{'loss': 0.6968, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.29}                                                                                                                                        
{'loss': 0.6731, 'learning_rate': 2.4e-05, 'epoch': 0.3}                                                                                                                                                        
{'loss': 0.6984, 'learning_rate': 2.5e-05, 'epoch': 0.32}                                                                                                                                                       
{'loss': 0.706, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.33}                                                                                                                                         
{'loss': 0.6385, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.34}                                                                                                                                        
{'loss': 0.6736, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.36}                                                                                                                                        
{'loss': 0.5642, 'learning_rate': 2.9e-05, 'epoch': 0.37}                                                                                                                                                       
{'loss': 1.0148, 'learning_rate': 3e-05, 'epoch': 0.38}                                                                                                                                                         
{'loss': 0.8996, 'learning_rate': 3.1e-05, 'epoch': 0.39}                                                                                                                                                       
{'loss': 0.3783, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.41}                                                                                                                                        
{'loss': 0.6511, 'learning_rate': 3.3e-05, 'epoch': 0.42}                                                                                                                                                       
{'loss': 1.3734, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.43}                                                                                                                                        
{'loss': 1.0143, 'learning_rate': 3.5e-05, 'epoch': 0.44}                                                                                                                                                       
{'loss': 0.8059, 'learning_rate': 3.6e-05, 'epoch': 0.46}                                                                                                                                                       
{'loss': 0.5478, 'learning_rate': 3.7e-05, 'epoch': 0.47}                                                                                                                                                       
{'loss': 0.6443, 'learning_rate': 3.8e-05, 'epoch': 0.48}                                                                                                                                                       
{'loss': 1.2783, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.49}                                                                                                                                        
{'loss': 0.9682, 'learning_rate': 4e-05, 'epoch': 0.51}                                                                                                                                                         
{'loss': 0.8921, 'learning_rate': 4.1e-05, 'epoch': 0.52}                                                                                                                                                       
{'loss': 1.1987, 'learning_rate': 4.2e-05, 'epoch': 0.53}                                                                                                                                                       
{'loss': 0.9807, 'learning_rate': 4.3e-05, 'epoch': 0.55}                                                                                                                                                       
{'loss': 0.7028, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.56}                                                                                                                                        
{'loss': 0.4809, 'learning_rate': 4.5e-05, 'epoch': 0.57}                                                                                                                                                       
{'loss': 1.2241, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.58}                                                                                                                                         
{'loss': 1.1477, 'learning_rate': 4.7e-05, 'epoch': 0.6}                                                                                                                                                        
{'loss': 0.6287, 'learning_rate': 4.8e-05, 'epoch': 0.61}                                                                                                                                                       
{'loss': 1.3608, 'learning_rate': 4.9e-05, 'epoch': 0.62}                                                                                                                                                       
{'loss': 2.0186, 'learning_rate': 5e-05, 'epoch': 0.63}                                                                                                                                                         
{'loss': 1.1396, 'learning_rate': 4.9731759656652363e-05, 'epoch': 0.65}                                                                                                                                        
{'loss': 0.6303, 'learning_rate': 4.9463519313304724e-05, 'epoch': 0.66}                                                                                                                                        
{'loss': 0.8627, 'learning_rate': 4.919527896995708e-05, 'epoch': 0.67}                                                                                                                                         
{'loss': 1.1164, 'learning_rate': 4.8927038626609446e-05, 'epoch': 0.69}                                                                                                                                        
{'loss': 1.1254, 'learning_rate': 4.86587982832618e-05, 'epoch': 0.7}                                                                                                                                           
{'loss': 1.3868, 'learning_rate': 4.839055793991417e-05, 'epoch': 0.71}                                                                                                                                         
{'loss': 1.6142, 'learning_rate': 4.812231759656652e-05, 'epoch': 0.72}                                                                                                                                         
{'loss': 1.1731, 'learning_rate': 4.785407725321889e-05, 'epoch': 0.74}                                                                                                                                         
{'loss': 1.029, 'learning_rate': 4.7585836909871245e-05, 'epoch': 0.75}                                                                                                                                         
{'loss': 0.6654, 'learning_rate': 4.7317596566523606e-05, 'epoch': 0.76}                                                                                                                                        
{'loss': 0.6872, 'learning_rate': 4.704935622317597e-05, 'epoch': 0.77}                                                                                                                                         
{'loss': 0.8954, 'learning_rate': 4.678111587982833e-05, 'epoch': 0.79}                                                                                                                                         
{'loss': 0.7354, 'learning_rate': 4.651287553648069e-05, 'epoch': 0.8}                                                                                                                                          
{'loss': 0.6622, 'learning_rate': 4.624463519313305e-05, 'epoch': 0.81}                                                                                                                                         
{'loss': 0.8309, 'learning_rate': 4.597639484978541e-05, 'epoch': 0.82}                                                                                                                                         
{'loss': 0.7213, 'learning_rate': 4.570815450643777e-05, 'epoch': 0.84}                                                                                                                                         
{'loss': 0.7445, 'learning_rate': 4.543991416309013e-05, 'epoch': 0.85}                                                                                                                                         
{'loss': 0.8401, 'learning_rate': 4.5171673819742494e-05, 'epoch': 0.86}                                                                                                                                        
{'loss': 0.6609, 'learning_rate': 4.4903433476394855e-05, 'epoch': 0.88}                                                                                                                                        
{'loss': 0.6978, 'learning_rate': 4.4635193133047216e-05, 'epoch': 0.89}                                                                                                                                        
{'loss': 0.7322, 'learning_rate': 4.436695278969957e-05, 'epoch': 0.9}                                                                                                                                          
{'loss': 0.6813, 'learning_rate': 4.409871244635193e-05, 'epoch': 0.91}                                                                                                                                         
{'loss': 0.7521, 'learning_rate': 4.383047210300429e-05, 'epoch': 0.93}                                                                                                                                         
{'loss': 0.8362, 'learning_rate': 4.356223175965665e-05, 'epoch': 0.94}                                                                                                                                         
{'loss': 0.6137, 'learning_rate': 4.3293991416309014e-05, 'epoch': 0.95}                                                                                                                                        
{'loss': 0.6636, 'learning_rate': 4.3025751072961375e-05, 'epoch': 0.96}                                                                                                                                        
{'loss': 0.7508, 'learning_rate': 4.2757510729613736e-05, 'epoch': 0.98}                                                                                                                                        
{'loss': 0.6462, 'learning_rate': 4.24892703862661e-05, 'epoch': 0.99}                                                                                                                                          
{'eval_loss': 0.9238092303276062, 'eval_accuracy': 0.4263959390862944, 'eval_runtime': 16.1889, 'eval_samples_per_second': 12.169, 'eval_steps_per_second': 12.169, 'epoch': 1.0}                               
{'loss': 0.5937, 'learning_rate': 4.222103004291846e-05, 'epoch': 1.0}                                                                                                                                          
{'loss': 0.8271, 'learning_rate': 4.195278969957082e-05, 'epoch': 1.02}
